Make it json ready  so that Cursor can process in a single chat window
OBJECTID	ID_0	ISO	NAME_0	ID_1	NAME_1	ID_2	NAME_2	ID_3	NAME_3	CCN_3	CCA_3	TYPE_3	ENGTYPE_3	NL_NAME_3	VARNAME_3	ORIG_FID	Latitude_N	Longitude_E 
1	105	IND	India	1	Andaman and Nicobar	1	Nicobar Islands	1	n.a. ( 2304)	0	 	Taluk	Taluk	 	 	0	7.0256774	93.80663677
2	105	IND	India	1	Andaman and Nicobar	2	North and Middle Andaman	2	n.a. ( 2178)	0	 	Taluk	Taluk	 	 	1	12.60226559	92.83019656
3	105	IND	India	1	Andaman and Nicobar	3	South Andaman	3	n.a. ( 2178)	0	 	Taluk	Taluk	 	 	2	11.85199909	92.67063435
4	105	IND	India	2	Andhra Pradesh	4	Anantapur	4	Anantapur	0	 	Taluk	Taluk	 	 	3	14.70768665	77.57760943
5	105	IND	India	2	Andhra Pradesh	4	Anantapur	5	Dharmavaram	0	 	Taluk	Taluk	 	 	4	14.34912462	77.64493179
6	105	IND	India	2	Andhra Pradesh	4	Anantapur	6	Gooty	0	 	Taluk	Taluk	 	 	5	15.02845933	77.43814323
7	105	IND	India	2	Andhra Pradesh	4	Anantapur	7	Hindupur	0	 	Taluk	Taluk	 	 	6	13.87046267	77.65076828
8	105	IND	India	2	Andhra Pradesh	4	Anantapur	8	Kadiri	0	 	Taluk	Taluk	 	 	7	14.11019204	78.14622144
9	105	IND	India	2	Andhra Pradesh	4	Anantapur	9	Kalyandurg	0	 	Taluk	Taluk	 	 	8	14.48408123	77.1182725
10	105	IND	India	2	Andhra Pradesh	4	Anantapur	10	Madakasira	0	 	Taluk	Taluk	 	 	9	13.93523288	77.12990996
11	105	IND	India	2	Andhra Pradesh	4	Anantapur	11	Penukonda	0	 	Taluk	Taluk	 	 	10	14.12481613	77.68064303
12	105	IND	India	2	Andhra Pradesh	4	Anantapur	12	Rayadurg	0	 	Taluk	Taluk	 	 	11	14.80863948	76.97276541
13	105	IND	India	2	Andhra Pradesh	4	Anantapur	13	Tadpatri	0	 	Taluk	Taluk	 	 	12	14.85294595	77.94988857
14	105	IND	India	2	Andhra Pradesh	5	Chittoor	14	Chandragiri	0	 	Taluk	Taluk	 	 	13	13.58663379	79.25914587
15	105	IND	India	2	Andhra Pradesh	5	Chittoor	15	Chittoor	0	 	Taluk	Taluk	 	 	14	13.2265098	79.04185821
16	105	IND	India	2	Andhra Pradesh	5	Chittoor	16	Kuppam	0	 	Taluk	Taluk	 	 	15	12.75641898	78.379436
17	105	IND	India	2	Andhra Pradesh	5	Chittoor	17	Madanapalle	0	 	Taluk	Taluk	 	 	16	13.69881604	78.40994079
18	105	IND	India	2	Andhra Pradesh	5	Chittoor	18	Palmaner	0	 	Taluk	Taluk	 	 	17	13.03234153	78.60727932
19	105	IND	India	2	Andhra Pradesh	5	Chittoor	19	Punganuru	0	 	Taluk	Taluk	 	 	18	13.33071679	78.66390228
20	105	IND	India	2	Andhra Pradesh	5	Chittoor	20	Puttur	0	 	Taluk	Taluk	 	 	19	13.43862114	79.44861603
21	105	IND	India	2	Andhra Pradesh	5	Chittoor	21	Satyavedu	0	 	Taluk	Taluk	 	 	20	13.43831641	79.83696711
22	105	IND	India	2	Andhra Pradesh	5	Chittoor	22	Sri Kalahasti	0	 	Taluk	Taluk	 	 	21	13.70192658	79.68238261
23	105	IND	India	2	Andhra Pradesh	5	Chittoor	23	Vayalipad	0	 	Taluk	Taluk	 	Vayalpad	22	13.73349393	78.87300263
24	105	IND	India	2	Andhra Pradesh	6	East Godavari	24	Addatigala	0	 	Taluk	Taluk	 	Ellavaram	23	17.49914751	82.19326019
25	105	IND	India	2	Andhra Pradesh	6	East Godavari	25	Amalapuram	0	 	Taluk	Taluk	 	 	24	16.55574593	82.01556036
26	105	IND	India	2	Andhra Pradesh	6	East Godavari	26	Kakinada	0	 	Taluk	Taluk	 	 	25	16.88925647	82.19459201
27	105	IND	India	2	Andhra Pradesh	6	East Godavari	27	Kottapeta	0	 	Taluk	Taluk	 	 	26	16.74286504	81.82866164
28	105	IND	India	2	Andhra Pradesh	6	East Godavari	28	Mummidivaram	0	 	Taluk	Taluk	 	 	27	16.61442914	82.17091103
